Reference, Value, Footprint, Datasheet, Note, Spice_Netlist_Enabled, Spice_Node_Sequence
C12,10u,amp:47u_NP,,NP,,
R26,100k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D6,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D7,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
R25,4.7k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R24,100k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R22,47k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C10,47u,amp:47u_NP,,NP,,
D5,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D4,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
D8,1N4004,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
R28,270,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D9,1N4004,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
C11,100n,Capacitors_ThroughHole:Capacitor7x2.5RM5,
R23,10,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,,4W,,
L1,2u,amp:Inductor_AirCore_2uH,
R29,10,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,,4W,,
XK1,RELAY_SPDT,amp:Omron_G2R_SPDT,,Omron G2R-1 24V,,
